table_id,geography,category,item,sex,age_group,metric_type,value,source_file
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Total lifetime Substance Use disorder,Persons,,proportion,16.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),No lifetime Substance Use disorder,Males,,proportion,76.6,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),No lifetime Substance Use disorder,Females,,proportion,89.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),No lifetime Substance Use disorder,Persons,,proportion,82.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with 12-month symptoms(b),Males,,proportion,17.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with 12-month symptoms(b),Females,,proportion,20.7,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with 12-month symptoms(b),Persons,,proportion,19.5,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with no 12-month symptoms(i),Males,,proportion,21.8,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with no 12-month symptoms(i),Females,,proportion,20.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Any lifetime mental disorder with no 12-month symptoms(i),Persons,,proportion,21,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total lifetime mental disorder(a),Males,,proportion,40.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total lifetime mental disorder(a),Females,,proportion,40.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Any mental disorder(h),Total lifetime mental disorder(a),Persons,,proportion,40.5,New South Wales - Lifetime and 12-month disorders.xlsx
